El río más largo del mundo se llama ______.,Río Nilo,Río Amazonas,Río Amarillo,Río Misisipi
Las ruinas de Esparta se encuentran el país de ______.,Grecia,Italia,Inglaterra,Alemania
El número de continentes que existen en la Tierra es de ______.,Seis,Cinco,Diez,Once
Hay ______ oceanos en la Tierra.,Cinco,Siete,Ocho,Once
El país más grande del mundo es ______.,Rusia,Canadá,Estados Unidos,China
El punto más alto del munto se llama ______.,Monte Everest,Himalaya,Machu Picchu,Monte Denalí
Hay un canal que conecta los oceanos Atlántico y Pacífico en el país de ______.,Panamá,Honduras,Guatemala,Nicaragua
Machu Picchu se encuentra en ______.,Perú,Brasil,Ecuador,Bolivia
El volcán que acabó con la ciudad de Pompeya se llama ______.,Monte Vesuvio,Volcán Empédocles,Monte Vulture,Etna
El continente más grande del mundo se llama ______.,Asia,África,Norte América,Europa
